,count,mean,std,min,1%,10%,25%,50%,75%,90%,99%,max
SeriousDlqin2yrs,149391.0,0.06699868131279663,0.25002055205354895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
RevolvingUtilizationOfUnsecuredLines,149391.0,6.071086666733826,250.26367203530322,0.0,0.0,0.00319921,0.030131806499999997,0.15423457699999998,0.5564942435,0.9780073309999999,1.0939219183000004,50708.0
age,149391.0,52.30623665414918,14.725962083902523,0.0,24.0,33.0,41.0,52.0,63.0,72.0,87.0,109.0
NumberOfTime30-59DaysPastDueNotWorse,149391.0,0.3938858431900181,3.852953132783266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,98.0
DebtRatio,149391.0,354.4367404852543,2041.8434552590868,0.0,0.0,0.034991252,0.17744143199999998,0.36823353600000003,0.8752793435,1275.0,4985.100000000006,329664.0
MonthlyIncome,149391.0,5426.467629283821,13234.293807793216,0.0,0.0,0.18,1800.0,4426.0,7416.0,10800.0,23250.600000000035,3008750.0
NumberOfOpenCreditLinesAndLoans,149391.0,8.480892423238348,5.136514586436413,0.0,0.0,3.0,5.0,8.0,11.0,15.0,24.0,58.0
NumberOfTimes90DaysLate,149391.0,0.23812010094316258,3.826164721055507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,98.0
NumberRealEstateLoansOrLines,149391.0,1.022390907082756,1.1301955021392602,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,54.0
NumberOfTime60-89DaysPastDueNotWorse,149391.0,0.2125027612105147,3.8105232718370754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0
NumberOfDependents,149391.0,0.759863426832368,1.101748532957646,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,20.0
